                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.48184,                0.93092,                0.78009,                0.81742,                0.98869,                  0.995,                0.92538,                 0.3522,                 0.6403,                0.75509,             0.00032022,             0.00032022,             0.00032022
                     48,                0.51771,                0.87036,                0.78596,                0.89168,                0.99899,                  0.995,                0.91679,                0.33938,                0.61979,                0.75317,              0.0003144,              0.0003144,              0.0003144
                     49,                0.45777,                0.86523,                0.82076,                0.92913,                      1,                  0.995,                0.93653,                0.33504,                0.62686,                0.74905,             0.00030858,             0.00030858,             0.00030858
                     50,                0.50439,                0.90241,                0.80709,                0.92863,                      1,                  0.995,                0.94269,                0.32608,                0.63522,                0.74875,             0.00030276,             0.00030276,             0.00030276
                     51,                0.46065,                0.79787,                0.80021,                0.92049,                      1,                  0.995,                 0.9442,                0.33402,                0.61768,                0.75051,             0.00029694,             0.00029694,             0.00029694
                     52,                0.44131,                0.74035,                0.80805,                0.91527,                      1,                  0.995,                0.93828,                0.32417,                0.59393,                 0.7506,             0.00029112,             0.00029112,             0.00029112
                     53,                0.43286,                0.78388,                0.78274,                0.89616,                      1,                  0.995,                0.95035,                0.30155,                0.58093,                0.74849,              0.0002853,              0.0002853,              0.0002853
                     54,                0.45742,                0.79671,                0.79166,                0.86421,                      1,                  0.995,                 0.9435,                0.28955,                0.57898,                0.74658,             0.00027948,             0.00027948,             0.00027948
                     55,                0.46611,                0.75694,                 0.8003,                0.84158,                      1,                  0.995,                0.93708,                0.27916,                0.59417,                0.74589,             0.00027366,             0.00027366,             0.00027366
                     56,                0.42964,                0.77707,                0.79805,                0.82576,                      1,                  0.995,                 0.9473,                0.27474,                 0.5992,                0.74539,             0.00026783,             0.00026783,             0.00026783
                     57,                0.40338,                0.74111,                0.80026,                0.82161,                      1,                  0.995,                0.94742,                0.28666,                0.59994,                 0.7469,             0.00026201,             0.00026201,             0.00026201
                     58,                0.42066,                0.79294,                0.78058,                0.82631,                      1,                  0.995,                0.95131,                0.28477,                0.57406,                0.74784,             0.00025619,             0.00025619,             0.00025619
                     59,                0.41205,                0.75571,                0.81034,                0.84814,                      1,                  0.995,                0.95504,                0.27743,                0.56836,                0.74893,             0.00025037,             0.00025037,             0.00025037
                     60,                0.42022,                 0.6861,                0.77377,                0.86609,                      1,                  0.995,                0.96201,                0.28013,                0.56909,                0.74944,             0.00024455,             0.00024455,             0.00024455
                     61,                0.42385,                0.73807,                0.80296,                0.89283,                      1,                  0.995,                0.94349,                0.28704,                0.56309,                0.75007,             0.00023873,             0.00023873,             0.00023873
                     62,                0.43945,                0.70266,                0.79291,                0.91459,                      1,                  0.995,                0.95025,                0.29024,                  0.556,                0.75115,             0.00023291,             0.00023291,             0.00023291
                     63,                0.38403,                0.72501,                0.78101,                0.93584,                0.99793,                  0.995,                0.96323,                 0.2817,                0.55369,                0.74976,             0.00022709,             0.00022709,             0.00022709
                     64,                0.38791,                0.67345,                0.80902,                0.95321,                 0.9848,                  0.995,                0.95963,                0.28314,                0.55914,                 0.7479,             0.00022126,             0.00022126,             0.00022126
                     65,                 0.3994,                0.68311,                0.78024,                 0.9529,                0.97921,                  0.995,                0.95603,                0.29513,                0.55687,                0.74596,             0.00021544,             0.00021544,             0.00021544
                     66,                0.41976,                0.74311,                0.81089,                0.95243,                0.99001,                  0.995,                0.95066,                0.28186,                0.53364,                0.74441,             0.00020962,             0.00020962,             0.00020962
                     67,                0.40631,                0.74454,                0.78369,                0.95223,                      1,                  0.995,                0.96166,                0.26772,                0.52336,                0.74431,              0.0002038,              0.0002038,              0.0002038
                     68,                0.40149,                0.66323,                0.78013,                 0.9507,                      1,                  0.995,                0.96656,                0.27626,                0.52766,                0.74495,             0.00019798,             0.00019798,             0.00019798
                     69,                  0.398,                0.67698,                0.78558,                0.95162,                      1,                  0.995,                 0.9699,                0.28658,                0.50456,                0.74545,             0.00019216,             0.00019216,             0.00019216
                     70,                0.37499,                0.65558,                0.80216,                0.95609,                      1,                  0.995,                0.96434,                0.28178,                0.50435,                0.74465,             0.00018634,             0.00018634,             0.00018634
                     71,                  0.392,                0.66085,                0.78702,                0.96302,                      1,                  0.995,                0.95549,                0.27139,                0.50742,                0.74421,             0.00018052,             0.00018052,             0.00018052
                     72,                0.40197,                0.65686,                0.79947,                0.96296,                      1,                  0.995,                0.94525,                 0.2743,                0.50029,                0.74403,             0.00017469,             0.00017469,             0.00017469
                     73,                0.41124,                0.66233,                0.80714,                0.96204,                      1,                  0.995,                0.95856,                0.26942,                0.48324,                0.74353,             0.00016887,             0.00016887,             0.00016887
                     74,                0.36953,                0.65036,                0.77675,                0.96374,                      1,                  0.995,                0.95769,                0.27112,                0.48259,                0.74133,             0.00016305,             0.00016305,             0.00016305
                     75,                 0.3863,                0.65462,                0.77801,                0.95674,                      1,                  0.995,                0.95253,                 0.2755,                0.48466,                0.74101,             0.00015723,             0.00015723,             0.00015723
                     76,                0.38941,                0.70873,                0.78796,                 0.9513,                      1,                  0.995,                0.95765,                 0.2791,                0.48451,                0.74162,             0.00015141,             0.00015141,             0.00015141
                     77,                0.38084,                0.64803,                 0.7837,                0.95593,                      1,                  0.995,                0.95982,                0.27249,                0.48717,                0.74127,             0.00014559,             0.00014559,             0.00014559
                     78,                0.37927,                0.62818,                0.78221,                0.96782,                      1,                  0.995,                0.96343,                0.26987,                0.47329,                 0.7423,             0.00013977,             0.00013977,             0.00013977
                     79,                0.37137,                0.64157,                 0.8029,                0.96936,                      1,                  0.995,                0.94806,                0.27477,                0.46911,                 0.7437,             0.00013395,             0.00013395,             0.00013395
                     80,                0.41582,                0.65441,                0.79207,                0.96725,                      1,                  0.995,                0.94482,                0.27477,                0.47214,                0.74342,             0.00012813,             0.00012813,             0.00012813
                     81,                0.36198,                0.63202,                0.76361,                0.96433,                      1,                  0.995,                 0.9543,                0.27251,                0.47798,                 0.7439,              0.0001223,              0.0001223,              0.0001223
                     82,                0.35011,                0.60929,                0.78623,                0.96571,                      1,                  0.995,                0.96402,                0.26553,                0.46961,                0.74354,             0.00011648,             0.00011648,             0.00011648
                     83,                0.34601,                0.62293,                0.80022,                0.96565,                      1,                  0.995,                0.96402,                0.26233,                0.46944,                0.74329,             0.00011066,             0.00011066,             0.00011066
                     84,                0.36507,                0.62197,                0.80425,                 0.9661,                      1,                  0.995,                0.95876,                0.25791,                0.47029,                0.74305,             0.00010484,             0.00010484,             0.00010484
                     85,                0.36131,                0.61657,                0.80554,                0.96713,                      1,                  0.995,                0.97399,                0.25553,                0.47119,                0.74257,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     86,                0.35816,                 0.5972,                0.79394,                0.96952,                      1,                  0.995,                0.97045,                0.24661,                0.44946,                0.74222,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     87,                 0.3407,                0.62799,                0.78035,                0.97139,                      1,                  0.995,                0.96795,                0.25156,                0.45597,                0.74142,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     88,                0.38817,                 0.6548,                0.80582,                0.96946,                      1,                  0.995,                  0.959,                0.24841,                0.44712,                 0.7408,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     89,                0.35413,                0.61349,                0.79348,                0.96957,                      1,                  0.995,                0.96074,                0.24417,                0.44606,                0.74105,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     90,                0.35231,                0.59847,                0.77326,                0.97037,                      1,                  0.995,                0.95892,                0.24101,                0.45834,                 0.7411,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     91,                0.31892,                0.62795,                0.78494,                0.97297,                      1,                  0.995,                0.97465,                0.23669,                0.45619,                0.74042,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     92,                0.31337,                 0.6091,                0.78802,                0.97305,                      1,                  0.995,                0.97273,                0.24528,                0.46372,                0.74072,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     93,                0.34242,                0.64319,                 0.7542,                0.97214,                      1,                  0.995,                0.97094,                 0.2517,                0.46023,                0.74086,              5.245e-05,              5.245e-05,              5.245e-05
                     94,                0.34416,                0.70152,                0.78143,                0.97307,                      1,                  0.995,                0.96468,                0.25613,                0.45856,                 0.7403,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     95,                0.32325,                0.63572,                0.80085,                 0.9698,                0.99949,                  0.995,                0.96465,                 0.2555,                0.45537,                0.74023,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     96,                0.32622,                0.63593,                0.77816,                 0.9671,                      1,                  0.995,                0.96141,                0.25467,                0.45489,                0.74002,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     97,                0.30597,                0.64841,                0.77481,                0.96565,                      1,                  0.995,                0.95614,                0.25338,                0.45233,                0.73926,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     98,                0.30159,                0.69336,                0.79561,                0.96306,                      1,                  0.995,                0.95746,                 0.2478,                 0.4522,                0.73956,             2.3344e-05,             2.3344e-05,             2.3344e-05
                     99,                0.30803,                0.63279,                0.79192,                0.96346,                      1,                  0.995,                0.95747,                0.24715,                 0.4431,                 0.7392,             1.7522e-05,             1.7522e-05,             1.7522e-05
                    100,                0.28241,                 0.5854,                0.80261,                0.96484,                      1,                  0.995,                0.95942,                0.24731,                0.44189,                0.73931,             1.1701e-05,             1.1701e-05,             1.1701e-05
